Archivo de Log inicializado: 2016-04-10.17:28:43

2016-04-10.17:28:43 || generamos el menu dinamico.
2016-04-10.17:28:43 || generateMenu::arrancamos la generación del menu.
2016-04-10.17:28:43 || generateMenu::hemos generado el menu correctamente.
2016-04-10.17:28:43 || generamos el menu dinamico.
2016-04-10.17:28:43 || printMenu::arrancamos la impresión del menu.
2016-04-10.17:28:43 || printMenu::hemos generado el menu correctamente.
2016-04-10.17:28:45 || processInput::iniciamos el procesamiento sobre lo ingresado por el usuario
2016-04-10.17:28:45 || finish::iniciamos la ejecución para finalizar.
2016-04-10.17:28:45 || antes de terminar nos desconectamos del servidor.
2016-04-10.17:28:45 || finish::terminamos la ejecución para finalizar.
2016-04-10.17:28:45 || processInput::terminamos el procesamiento sobre lo ingresado por el usuario
2016-04-10.17:28:45 || antes de terminar nos desconectamos del servidor.
